material,family,property,value,unit,temperature_C,value_low,value_high,method_or_basis,source_citation,source_locator,notes,disagreement_flag
Solar Salt 60/40 NaNO3-KNO3,molten_nitrate_salt,density,1835,kg/m3,400,1800,1870,correlation rho=2090-0.636*T(C) evaluated at 400 C,"Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document",SAND2001-3835,DEMO PLACEHOLDER indicative value for pipeline testing,
Solar Salt 60/40 NaNO3-KNO3,molten_nitrate_salt,heat_capacity,1512,J/kg-K,400,1480,1550,correlation cp=1443+0.172*T(C) evaluated at 400 C,"Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document",SAND2001-3835,DEMO PLACEHOLDER indicative value for pipeline testing,
Solar Salt 60/40 NaNO3-KNO3,molten_nitrate_salt,thermal_conductivity,0.52,W/m-K,400,0.50,0.55,correlation k=0.443+1.9e-4*T(C) evaluated at 400 C,"Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document",SAND2001-3835,DEMO PLACEHOLDER; encoded as alternative A of a deliberate disagreement pair,yes
Solar Salt 60/40 NaNO3-KNO3,molten_nitrate_salt,thermal_conductivity,0.45,W/m-K,400,0.40,0.50,lower end of scattered literature measurements compiled in a molten salt property review,"Serrano-Lopez et al. 2013, Chemical Engineering and Processing",arXiv:1307.7343,DEMO PLACEHOLDER; alternative B of disagreement pair; identifier not re-verified,yes
Solar Salt 60/40 NaNO3-KNO3,molten_nitrate_salt,melting_point,240,C,,220,260,freezing point of the 60/40 wt% eutectic-ish mixture,"Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document",SAND2001-3835,DEMO PLACEHOLDER indicative value for pipeline testing,
Solar Salt 60/40 NaNO3-KNO3,molten_nitrate_salt,min_operating_temperature,290,C,,270,300,practical cold-tank temperature including freeze margin,"Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document",SAND2001-3835,DEMO PLACEHOLDER; system choice not a material property,
Solar Salt 60/40 NaNO3-KNO3,molten_nitrate_salt,max_operating_temperature,565,C,,545,585,practical hot-tank limit set by nitrate decomposition and alloy corrosion,"Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document",SAND2001-3835,DEMO PLACEHOLDER; upper bound contested above 565 C,
Solar Salt 60/40 NaNO3-KNO3,molten_nitrate_salt,cost_per_tonne,490,USD_per_tonne,,400,900,indicative storage media cost table in 2010 USD,"Gil et al. 2010, Renewable and Sustainable Energy Reviews 14(1)",10.1016/j.rser.2009.07.035,DEMO PLACEHOLDER; 2010 basis not escalated to present,
Hitec NaNO3-KNO3-NaNO2,molten_nitrate_nitrite_salt,density,1790,kg/m3,300,1740,1840,review compilation of heat transfer fluid properties,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER indicative value for pipeline testing,
Hitec NaNO3-KNO3-NaNO2,molten_nitrate_nitrite_salt,heat_capacity,1560,J/kg-K,300,1450,1650,review compilation of heat transfer fluid properties,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER indicative value for pipeline testing,
Hitec NaNO3-KNO3-NaNO2,molten_nitrate_nitrite_salt,thermal_conductivity,0.33,W/m-K,300,0.20,0.50,literature range with large scatter,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER; scatter encoded as a wide interval not as two sources,
Hitec NaNO3-KNO3-NaNO2,molten_nitrate_nitrite_salt,melting_point,142,C,,138,150,reported melt temperature of the ternary,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER indicative value for pipeline testing,
Hitec NaNO3-KNO3-NaNO2,molten_nitrate_nitrite_salt,min_operating_temperature,200,C,,170,240,practical cold-side temperature with freeze margin,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER; system choice not a material property,
Hitec NaNO3-KNO3-NaNO2,molten_nitrate_nitrite_salt,max_operating_temperature,500,C,,450,538,continuous limit lower than short-term limit; nitrite oxidation and decomposition,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER; continuous vs short-term limits often conflated,
