material,family,property,value,unit,temperature_C,value_low,value_high,method_or_basis,source_citation,source_locator,notes,disagreement_flag
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",melting_point,,C,,220,240,phase diagram / plant practice,"Bauer et al. 2013, Applied Energy, Material aspects of Solar Salt for sensible heat storage",Applied Energy 111:1114-1119 (vol/pages from memory; verify),"60/40 wt% is not the exact eutectic: solidus ~220 C, liquidus ~238-240 C. A single melting point is under-defined for this mixture; freeze protection is set by the liquidus.",no
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",density,1899,kg/m3,300,,,"correlation rho = 2090 - 0.636*T(C), evaluated here at T","Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document Rev 0",SAND2001-2100,"Correlation is for the liquid. Value computed by this contributor from the cited correlation, not read from a table.",no
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",density,1772,kg/m3,500,,,"correlation rho = 2090 - 0.636*T(C), evaluated here at T","Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document Rev 0",SAND2001-2100,Value computed by this contributor from the cited correlation.,no
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",heat_capacity,1495,J/(kg K),300,,,"correlation cp = 1443 + 0.172*T(C), evaluated here at T","Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document Rev 0",SAND2001-2100,Liquid phase. Value computed from the cited correlation. Reported DSC scatter for Solar Salt cp is roughly +/-5%.,no
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",heat_capacity,1529,J/(kg K),500,,,"correlation cp = 1443 + 0.172*T(C), evaluated here at T","Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document Rev 0",SAND2001-2100,Value computed from the cited correlation.,no
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",thermal_conductivity,0.500,W/(m K),300,,,"correlation k = 0.443 + 1.9e-4*T(C), evaluated here at T","Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document Rev 0",SAND2001-2100,This correlation is the one most widely propagated into CSP system models. Its underlying data are disputed - see D1.,yes:D1
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",thermal_conductivity,0.538,W/(m K),500,,,"correlation k = 0.443 + 1.9e-4*T(C), evaluated here at T","Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document Rev 0",SAND2001-2100,See D1.,yes:D1
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",thermal_conductivity,,W/(m K),300-500,0.40,0.55,critical review of primary measurements,"Nunes et al. 2016, Applied Energy, Molten salts as engineering fluids - review Part I: alkali nitrates",Applied Energy 183:603-611 (vol/pages from memory; verify),The review argues much published molten-nitrate k data are unreliable (convection/radiation artefacts) and recommends lower values with wide uncertainty. The exact recommended number is NOT reproduced here because this contributor could not confirm it; range is indicative only. See D1.,yes:D1
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",max_operating_temperature,565,C,,,,commercial two-tank CSP operating practice,"Zavoico 2001, Sandia National Laboratories, Solar Power Tower Design Basis Document Rev 0",SAND2001-2100,565 C is the de facto commercial ceiling; above it nitrate/nitrite decomposition and corrosion rates rise. See D2.,yes:D2
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",max_operating_temperature,600,C,,,,proposed operation with cover-gas and salt-chemistry control,"Turchi, Vidal, Bauer 2018, Solar Energy, Molten salt power towers operating at 600-650 C",Solar Energy 164:38-46 (vol/pages from memory; verify),"Higher ceiling is conditional on atmosphere and chemistry management, not demonstrated commercially at the time of the source. See D2.",yes:D2
