evidence_id,observation,source_name,citation,locator,hypothesis,effect,strength,applies_to,confidence_note,unresolved_ambiguity
P01,"Extreme rotation measure of order 1e5 rad m^-2 with ~10 percent decline over about 7 months, and near-100 percent linear polarization","FRB 121102","Michilli et al. 2018, Nature 553, 182, arXiv:1801.03965","Reported observed RM ~1.46e5 rad m^-2 (Jan 2017) falling to ~1.33e5 (Aug 2017); exact source-frame value depends on the (1+z)^2 correction, verify against source","Magnetar in a dense, highly magnetized nebula or near a massive black hole",supports,strong,single-source,"RM magnitude and its secular decline are robust; the physical identification of the Faraday screen is a model-dependent inference, not a measurement","A compact magnetized nebula and a supermassive-black-hole environment both reproduce the RM magnitude; the data do not separate them"
P02,"Continued secular decline of the rotation measure over multiple years, roughly a factor of a few, without a sign change","FRB 121102","Hilmarsson et al. 2021, ApJL 908, L10","RM decline tracked with Effelsberg and Arecibo; decline rate quoted as roughly 15 percent per year at the time, verify exact rate against source","Expanding or evolving magneto-ionic screen local to the source, e.g. a young supernova remnant or magnetar wind nebula",supports,moderate,single-source,"The trend is well sampled; attributing it to expansion rather than to line-of-sight motion through a structured screen is interpretation","Screen expansion, orbital motion, and turbulent screen crossing all predict monotonic-looking decline over a few-year baseline"
P03,"Rotation measure reversed sign twice within about a year, swinging through zero between values of order +/-1e4 rad m^-2","FRB 20190520B","Anna-Thomas et al. 2023, Science 380, 599","Sign reversals reported from FAST and GBT monitoring; exact endpoint RM values uncertain here, verify against source","Neutron star in a binary with a magnetized wind from a massive or degenerate companion",supports,strong,single-source,"The sign reversal itself is a direct measurement and is hard to produce with a static nebula; the binary interpretation is one of several","A binary companion wind, a turbulent nebula with reversing field, and a supernova-remnant filament crossing all remain viable"
P04,"Irregular rotation measure variation of order several hundred rad m^-2 over weeks followed by a plateau, together with circular polarization reaching tens of percent in some bursts","FRB 20201124A","Xu et al. 2022, Nature 609, 685","FAST monitoring campaign; peak circular polarization fraction quoted as high (up to ~75 percent in the paper as recalled), value uncertain, verify against source","Magnetospheric propagation or conversion in a dynamic, magnetized circumburst medium",supports,moderate,single-source,"RM variability is securely measured; circular polarization can arise both in the magnetosphere and from propagation, so the site is not fixed by this datum","Generalized Faraday conversion in a magnetized plasma screen versus intrinsic magnetospheric circular polarization"
P05,"Linear polarization fraction falls with decreasing frequency across several repeaters, consistent with multipath RM scatter in a turbulent screen","Multiple repeaters","Feng et al. 2022, Science 375, 1266","Depolarization parametrized by an RM scatter term; larger scatter associated with larger and more variable RM","Repeaters sit in dense, turbulent, magnetized environments",supports,moderate,repeaters,"The frequency dependence is a population-level empirical trend; sample size is small and selection toward bright, well-monitored repeaters is severe","Whether the depolarizing screen is source-local or an unrelated foreground is not settled per source"
P06,"Diverse polarization position angle swings within individual bursts, including swings of tens of degrees across a single burst","FRB 20180301A","Luo et al. 2020, Nature 586, 693","FAST detection of varied PA swings across a burst sample from one repeater","Magnetospheric emission from a rotating neutron star (rotating-vector-like geometry)",supports,moderate,single-source,"The PA swings are measured; the rotating-vector-model reading is an interpretation contested in the literature (see the PA-swing disagreement record)","Swings can be produced by magnetospheric geometry or by structure in a relativistic shock; this observation alone does not decide"
P07,"Flat, essentially constant polarization position angle within and between bursts at high frequency, with near-100 percent linear polarization","FRB 121102","Michilli et al. 2018, Nature 553, 182, arXiv:1801.03965","PA reported as constant across bursts after RM correction","Magnetospheric emission from a rotating neutron star",neutral,moderate,single-source,"A flat PA is compatible with magnetospheric emission viewed along a favourable geometry and also with shock models; it is not by itself discriminating","Flat PA and swinging PA occur in different repeaters, so PA behaviour is not a clean class marker"
P08,"Smooth S-shaped polarization position angle swing of order 100 degrees within a single burst from an apparent non-repeater","FRB 20221022A","Mckinven et al. 2025, Nature","CHIME/FRB detection; swing amplitude quoted as ~130 degrees as recalled, verify amplitude and reference details against source","Magnetospheric emission from a rotating neutron star, extended to apparent non-repeaters",supports,moderate,single-source,"Reference details are from recall and should be re-checked before being relied on; the measurement, if confirmed as described, is a direct pulsar-like analogue","Whether one PA-swinging non-repeater generalizes to the non-repeating population is untested"
P09,"Scintillation analysis of a single burst used to bound the transverse size of the emission region to a scale far smaller than a shock radius","FRB 20221022A","Nimmo et al. 2025, Nature","Two-screen scintillation argument; the quoted emitting-region bound is small (order 1e4 km or less as recalled), value uncertain, verify against source","Magnetospheric (close-in) emission rather than far-away relativistic shock",supports,strong,single-source,"If the two-screen geometry holds, this is among the most direct size constraints available; the constraint is only as good as the screen-distance assumptions","Screen distances are inferred, not measured; a different screen configuration relaxes the size bound"
T10,"Periodic activity window with a period of 16.35 days, with bursts confined to roughly a five-day phase window at 400-800 MHz","FRB 20180916B","CHIME/FRB Collaboration 2020, Nature 582, 351","Period reported as 16.35 +/- 0.15 days from CHIME/FRB monitoring","Binary orbital modulation of a neutron star by a companion wind or by beam obscuration",supports,strong,single-source,"The periodicity is a robust timing result; the mechanism producing the window is not measured","Orbital modulation, free precession of a magnetar, and ultra-slow rotation all fit a 16-day window"
