evidence_id,observation,source_name,citation,locator,hypothesis,effect,strength,applies_to,confidence_note,unresolved_ambiguity
EV-H01,"Host of FRB 121102 is a low-metallicity, low-mass dwarf star-forming galaxy at z=0.19273, resembling hosts of superluminous supernovae and long GRBs.",FRB 20121102A,"Tendulkar et al. 2017, ApJL",abstract; host redshift and SED/metallicity section,magnetar-core-collapse,supports,strong,single-source,"Localization and host association are secure; the SLSN/LGRB-host analogy is the authors' interpretation, not a measurement.","One object. Later localizations show dwarf hosts are the minority, so this cannot be generalized to the population."
EV-H02,"Compact, luminous persistent radio source (PRS) spatially coincident with FRB 121102 to within the localization precision (sub-arcsecond, VLA; later milliarcsecond-scale with VLBI).",FRB 20121102A,"Chatterjee et al. 2017, Nature",abstract; VLA localization and persistent-source photometry,magnetar-core-collapse (young magnetar in dense nebula),supports,strong,single-source,Existence and compactness of the PRS are robust; its physical nature is not established by the detection itself.,"PRS could be a magnetar wind nebula, a young supernova remnant, or an accretion-powered source (low-luminosity AGN / X-ray binary analogue). Degenerate."
EV-H03,FRB 121102 bursts are coincident with a bright star-forming knot (HII region) within the dwarf host rather than with the host nucleus.,FRB 20121102A,"Bassa et al. 2017, ApJL",abstract; HST/optical imaging of the star-forming region,magnetar-core-collapse,supports,moderate,single-source,Association with the star-forming knot is strong; the precise offset in parsecs is not quoted here because I am not confident of the exact figure.,"Coincidence with a star-forming region does not by itself establish a young age; the star-forming knot dominates the host light, so chance alignment is not negligible."
EV-H04,"FRB 20190520B is a second repeater with a compact persistent radio source in a dwarf star-forming host, i.e. the 121102-like configuration is not unique.",FRB 20190520B,"Niu et al. 2022, Nature",abstract; host identification and persistent-source sections,magnetar-core-collapse (young magnetar in dense nebula),supports,moderate,single-source,"Detection secure. Whether the PRS is powered the same way as in FRB 121102 is assumed, not shown.",Both PRS systems are repeaters with extreme dispersion and rotation measures; unclear whether this is a separate sub-class or an early evolutionary stage common to all sources.
EV-H05,"FRB 20180916B localized with milliarcsecond precision to a star-forming region in the outskirts of a nearby, massive spiral galaxy at z=0.0337.",FRB 20180916B,"Marcote et al. 2020, Nature",abstract; EVN localization and host identification,magnetar-core-collapse,supports,moderate,single-source,Localization is secure. Support is weaker than for FRB 121102 because a normal spiral host is not a distinctive prediction of this channel.,A massive spiral host is compatible with essentially every progenitor hypothesis; the host type alone carries little discriminating power.
EV-H06,"FRB 20180916B is offset by roughly a few hundred parsecs from the nearest bright star-forming knot, with no coincident young stellar population at the burst position.",FRB 20180916B,"Tendulkar et al. 2021, ApJL (60 pc environment of FRB 20180916B)",abstract; offset from nearest star-forming knot,magnetar-core-collapse with a very young (<~ few hundred year) magnetar,challenges,moderate,single-source,I am confident of the qualitative offset result but NOT of the exact parsec value; verify the number against the source before quoting it.,"Offset can be explained by a natal kick plus an age of >~1e5 yr, by a runaway progenitor, or by an older formation channel; these are not separated by the imaging."
EV-H07,"FRB 20200120E localized to a globular cluster associated with M81, i.e. to an old, metal-poor, low-star-formation stellar environment.",FRB 20200120E,"Kirsten et al. 2022, Nature",abstract; VLBI localization and globular cluster identification,magnetar-core-collapse,challenges,strong,single-source,Localization to the globular cluster is secure and the cluster's old age is well established from stellar populations.,Rules out core collapse for THIS source only. Whether it represents a rare channel or a substantial fraction of the population is unknown.
EV-H08,"Same globular-cluster localization read as positive evidence for compact-object formation channels available to old populations (accretion-induced collapse of a white dwarf, WD-WD or NS-WD merger products, dynamically assembled binaries).",FRB 20200120E,"Kirsten et al. 2022, Nature",abstract and discussion of formation channels,magnetar-alternative-channel (AIC / merger / dynamical assembly),supports,strong,single-source,The environment strongly constrains the formation channel; the specific channel among AIC / merger / dynamical capture is not determined.,"Globular clusters have high stellar interaction rates, so per-star rates there are not transferable to field populations; the channel could be strongly over-represented in clusters."
EV-H09,"FRB 20200120E has a very low dispersion measure (~88 pc cm^-3 total), leaving little room for a dense magnetized local nebula along the line of sight.",FRB 20200120E,"Bhardwaj et al. 2021, ApJL",abstract; DM budget and M81 association,all FRB sources sit inside dense young nebulae (as inferred for FRB 121102),challenges,moderate,single-source,"DM value is well measured; the DM budget decomposition into Milky Way, halo, host and local contributions carries modelling uncertainty.","A low integrated DM does not exclude a compact, low-filling-factor magnetized region very close to the source."
EV-H10,Galactic magnetar SGR 1935+2154 emitted an FRB-like millisecond radio burst (fluence of order 1 MJy ms) simultaneously with a hard X-ray burst.,SGR 1935+2154 (Galactic magnetar),"CHIME/FRB Collaboration 2020, Nature; Bochenek et al. 2020, Nature",abstracts; burst detection and fluence,magnetar (any formation channel) as an FRB engine,supports,strong,all,"Detection by two independent instruments; magnetar identification unambiguous. Establishes existence, not dominance, of a magnetar channel.",Shows magnetars CAN make FRB-like bursts; does not show that the cosmological FRB population is made this way.
EV-H11,"Isotropic-equivalent radio energy of the SGR 1935+2154 burst is ~1e34-3e35 erg (distance-dependent), roughly 4-5 orders of magnitude below a typical cosmological FRB and ~7 dex below the brightest localized events.",SGR 1935+2154 (Galactic magnetar); cosmological FRB comparison set,artifact:frb_energetics_scaling.py and artifact:frb_energetics_scaling_out.txt - unit conversion of published fluences to isotropic energy,"frb_energetics_scaling_out.txt, ratio block",magnetars like SGR 1935+2154 as the sole engine of cosmological FRBs,challenges,moderate,all,"Conversion is arithmetic, not a measurement; distance to SGR 1935+2154 is uncertain by ~factor 3 (about 1 dex in energy), and E_iso scales linearly with the assumed bandwidth.",Unknown whether the energy gap is a continuous luminosity function extending over 7 dex or evidence for physically distinct populations; selection effects truncate the faint end.
EV-H12,"Bursts from FRB 20200120E in the M81 globular cluster have isotropic energies overlapping the Galactic magnetar burst range, bridging part of the Galactic/extragalactic energy gap.",FRB 20200120E,"artifact:frb_energetics_scaling_out.txt - representative 1 Jy ms burst at 3.6 Mpc gives ~1.6e34 erg, below the 9 kpc SGR 1935+2154 value","frb_energetics_scaling_out.txt, case table row 4",a single continuous FRB luminosity function spanning Galactic to cosmological energies,supports,weak,repeaters,"Uses a representative rather than a measured fluence for FRB 20200120E; treat as an order-of-magnitude framing only, not as a published energy.",Overlap in energy does not imply a shared mechanism; a nearby low-energy repeater in an old cluster may belong to a different channel entirely.
EV-H13,"FRB host galaxies span a wide range of stellar masses and star formation rates and are typically ordinary star-forming galaxies, not the extreme low-mass, low-metallicity systems that dominate SLSN and long-GRB host samples.",localized FRB host sample (multiple),"Bhandari et al. 2020, ApJL; Heintz et al. 2020, ApJ",abstracts; host demographic comparison to transient host samples,magnetar-core-collapse specifically via the SLSN/LGRB formation channel,challenges,moderate,all,Conclusion rests on small samples (tens of hosts) with heterogeneous selection; statistical comparisons to transient host samples are sensitive to the comparison sample chosen.,"Whether FRB rate tracks stellar mass, star formation rate, or some mixture is unresolved; current samples cannot cleanly separate these."
EV-H14,Expanded ASKAP-era host sample confirms a mix of star-forming and low-specific-star-formation hosts with moderate stellar masses; no single host type dominates.,localized FRB host sample (ASKAP/CRAFT and others),"Bhandari et al. 2022, AJ",abstract; host property tables and comparison figures,a single young-progenitor channel producing all FRBs,challenges,moderate,all,"Selection favours bright, low-redshift, well-imaged hosts; unbiased demographics are not yet available.",Host diversity is consistent both with several progenitor channels and with one channel having a broad delay-time distribution.
EV-H15,"FRB 180924 localized to a massive galaxy with low specific star formation rate, offset several kiloparsecs from the galaxy centre; no star-forming knot at the burst position.",FRB 20180924B,"Bannister et al. 2019, Science",abstract; host identification and offset measurement,magnetar-core-collapse with a young magnetar,challenges,moderate,non-repeaters,Localization is secure; the inference of an old progenitor from the integrated host colours is model-dependent.,"Low-level, spatially localized star formation below the imaging limit cannot be excluded at the burst position."
EV-H16,"FRB 190523 localized to a massive galaxy with a low star formation rate, unlike the dwarf host of FRB 121102.",FRB 20190523A,"Ravi et al. 2019, Nature",abstract; host association and stellar population discussion,magnetar-core-collapse with a young magnetar,challenges,moderate,non-repeaters,Localization region is larger than for VLBI-localized sources; host association is probabilistic rather than definitive.,Single source; does not exclude a young magnetar formed in a low-luminosity star-forming pocket within the massive host.
EV-H17,"Projected host-centric offsets of localized FRBs, from HST imaging, mostly fall within the host stellar light at a few kiloparsecs, tracking the light distribution more closely than short-GRB offsets but less tightly than core-collapse SNe.",localized FRB host sample (HST imaging),"Mannings et al. 2021, ApJ",abstract; offset distribution and comparison to transient classes,compact-object merger (NS-NS / NS-BH) as the dominant FRB channel,challenges,moderate,all,Small sample (order ten hosts) and projected (not physical) offsets; the comparison-class offset distributions themselves carry uncertainty.,"Intermediate offsets are also produced by kicked neutron stars from core collapse, so the offset distribution alone does not separate the channels."
EV-H18,Persistent radio sources are rare: only two secure PRS associations (FRB 121102 and FRB 20190520B) among several tens of well-localized FRBs.,localized FRB sample,"Chatterjee et al. 2017, Nature; Niu et al. 2022, Nature","abstracts of both, read together with the absence of comparable detections elsewhere",all FRB sources are embedded in luminous young magnetized nebulae,challenges,moderate,all,"The non-detections are heterogeneous in depth and mostly not published as a uniform limit set; this row is a statement about the published record, not a rate measurement.",PRS rarity may reflect source age (nebulae fade) rather than distinct progenitors. A uniform limit compilation is needed; see the open task frb-task-prs-incidence.
EV-H19,"FRB 20220610A localized to z=1.016, the most distant well-localized FRB at the time of publication, in a morphologically complex, apparently interacting galaxy system.",FRB 20220610A,"Ryder et al. 2023, Science",abstract; redshift determination and host imaging,progenitors form in star-forming systems and exist out to z~1,supports,moderate,non-repeaters,Redshift is spectroscopic and secure; the interacting/compact-group interpretation of the host morphology is less certain.,"Whether the host is a single disturbed galaxy or a group affects host DM and stellar-mass estimates, and hence the inferred environment."
EV-H20,"Implied isotropic energy of FRB 20220610A is of order 1e42 erg under standard bandwidth assumptions, near the top of the observed FRB energy distribution.",FRB 20220610A,artifact:frb_energetics_scaling_out.txt - 45 Jy ms at z=1.016 gives 1.28e42 erg for a 1 GHz bandwidth,"frb_energetics_scaling_out.txt, case table final row",energetic ceiling of magnetar-powered emission models,challenges,weak,single-source,The input fluence (45 Jy ms) is approximate and should be VERIFIED against Ryder et al. 2023; the energy scales linearly with the assumed bandwidth.,"Magnetar magnetic energy reservoirs plausibly reach 1e47-1e49 erg, so a 1e42 erg burst is not obviously prohibitive; the constraint bites only through the radio efficiency, which is unknown."
EV-H21,"Dispersion measures of localized FRBs follow the expected DM-redshift (Macquart) relation, confirming that most of the DM is intergalactic and accounting for the cosmic baryon content.",localized FRB sample,"Macquart et al. 2020, Nature",abstract; DM-z relation fit,"all progenitor hypotheses (consistency check, not a discriminant)",neutral,strong,all,Result is robust for the sample used but rests on a small number of localizations and on an assumed cosmic baryon distribution model.,"Scatter in the relation absorbs host plus local DM contributions, so individual local-environment densities remain poorly constrained by this method."
EV-H22,Host plus local DM contributions inferred from the Macquart relation are typically modest (order 100 pc cm^-3 or less in the rest frame) for most localized FRBs.,localized FRB sample,"Macquart et al. 2020, Nature",abstract and DM budget discussion; inference by this contributor from the fit residuals,FRB sources generically sit in dense young supernova remnants or magnetar nebulae,challenges,weak,all,"This is a downstream inference by this contributor, not a stated result of the paper; the host DM inference is degenerate with the assumed IGM model and is weakened by small samples.","A young dense remnant contributes strongly to DM for only a few hundred years, so a modest host DM may indicate age rather than a different progenitor."
